pdf	pdf_seite	schnitt_x	breite	talbreite	erkannt
Dickhoff_Essener Straßen_2015_2.pdf	62	2208	4238	97	ja
Dickhoff_Essener Straßen_2015_2.pdf	63	2208	4271	106	ja
Dickhoff_Essener Straßen_2015_2.pdf	64	2223	4255	91	ja
Dickhoff_Essener Straßen_2015_2.pdf	65	2218	4263	102	ja
Dickhoff_Essener Straßen_2015_2.pdf	66	2222	4280	107	ja
Dickhoff_Essener Straßen_2015_2.pdf	67	2224	4271	99	ja
Dickhoff_Essener Straßen_2015_2.pdf	68	2104	4288	104	ja
Dickhoff_Essener Straßen_2015_2.pdf	69	2163	4288	216	ja
Dickhoff_Essener Straßen_2015_2.pdf	70	2168	4300	226	ja
Dickhoff_Essener Straßen_2015_2.pdf	71	2165	4334	234	ja
Dickhoff_Essener Straßen_2015_2.pdf	72	2147	4334	223	ja
Dickhoff_Essener Straßen_2015_2.pdf	73	2090	4334	113	ja
Dickhoff_Essener Straßen_2015_2.pdf	74	2093	4334	136	ja
Dickhoff_Essener Straßen_2015_2.pdf	75	2082	4325	126	ja
Dickhoff_Essener Straßen_2015_2.pdf	76	2167	4159	51	ja
Dickhoff_Essener Straßen_2015_2.pdf	77	1904	3775	190	ja
Dickhoff_Essener Straßen_2015_2.pdf	78	1850	3750	110	ja
Dickhoff_Essener Straßen_2015_2.pdf	79	2087	4167	100	ja
Dickhoff_Essener Straßen_2015_2.pdf	80	2089	4167	95	ja
Dickhoff_Essener Straßen_2015_2.pdf	81	2202	4150	94	ja
Dickhoff_Essener Straßen_2015_2.pdf	82	1896	4142	461	ja
Dickhoff_Essener Straßen_2015_2.pdf	83	2231	4150	197	ja
Dickhoff_Essener Straßen_2015_2.pdf	84	2356	4159	444	ja
Dickhoff_Essener Straßen_2015_2.pdf	85	2101	4192	381	ja
Dickhoff_Essener Straßen_2015_2.pdf	86	2126	4163	338	ja
Dickhoff_Essener Straßen_2015_2.pdf	87	2114	4159	260	ja
Dickhoff_Essener Straßen_2015_2.pdf	88	2016	4134	409	ja
Dickhoff_Essener Straßen_2015_2.pdf	89	2026	4205	420	ja
Dickhoff_Essener Straßen_2015_2.pdf	90	2026	4121	368	ja
Dickhoff_Essener Straßen_2015_2.pdf	91	2026	4121	399	ja
Dickhoff_Essener Straßen_2015_2.pdf	92	2088	4117	268	ja
Dickhoff_Essener Straßen_2015_2.pdf	93	2063	4125	300	ja
Dickhoff_Essener Straßen_2015_2.pdf	94	2078	4100	241	ja
