schl_nr,lemma,stadtteile,strassenklasse,namensgruppe,verweis_auf,buchseite,status
00164,Am Ehrenmal,Überruhr- Holthausen,Gemeindestraße,Lagebezeichnung,,33,automatisch
00075,Am Ellenbogen,Borbeck-Mitte,Gemeindestraße,Lagebezeichnung,,33,automatisch
00076,Am Elsenbusch,Vogelheim,Gemeindestraße,"Person, Mann, Deutscher, Schreiner",,33,automatisch
01871,Am EUROPA-CENTER,Holsterhausen,Gemeindestraße,Lagebezeichnung,,33,automatisch
00258,Am Fernmeldeamt,Holsterhausen,Gemeindestraße,Lagebezeichnung,,33,automatisch
00703,Am Fichtenbusch,Haarzopf,Gemeindestraße,"Botanik, Wald",,34,automatisch
00251,Am Fliegenbusch,Schönebeck,Gemeindestraße,"Flurname, Familienname",,34,automatisch
00077,Am Freistein,Nordviertel,Gemeindestraße,Lagebezeichnung,,34,unsicher
00260,Am Fröhlinge,Burgaltendorf,Gemeindestraße,"Flurname, Kotten, Nummerierungsbezirk",,34,automatisch
00247,Am Funkturm,Holsterhausen,Gemeindestraße,Lagebezeichnung,,34,automatisch
00079,Am Gehölz,Margarethenhöhe,Gemeindestraße,Botanik,,34,automatisch
00080,Am Gellenberg,Heidhausen,Gemeindestraße,Flurname,,34,automatisch
00170,Am Gemeindebusch,Überruhr-Hinsel,Gemeindestraße,Flurname,,34,automatisch
00182,Am Gerichtshaus - Gerichtshaus Byfang 1916 Am Gerichtshaus,Kupferdreh,Gemeindestraße,Lagebezeichnung,,34,unsicher
00081,Am Glockenberg,Rellinghausen; Stadtwald,Gemeindestraße,Essener Geschichte und Örtlichkeit,,35,automatisch
00082,Am Glockenspiel,Stadtkern,Gemeindestraße,Lagebezeichnung,,35,automatisch
00963,Am Grugapark,Rüttenscheid,Gemeindestraße,Lagebezeichnung,,35,automatisch
00083,Am Gutshof,Schuir,Gemeindestraße,Lagebezeichnung,,35,automatisch
00084,Am Hagenbusch,Heisingen,Gemeindestraße,"Hurname, Hofname",,35,automatisch
03603,Am Hammershöfchen,Kettwig,Gemeindestraße,Kotten,,35,unsicher
00085,Am Handelshof - Handelshof 1913 KEN U E Weein Am Handelshof,Stadtkern,Gemeindestraße,Essener Geschichte und Örtlichkeit,,35,unsicher
02537,Am Handwerkerpark,Katernberg,Gemeindestraße,Industrie und Wirtschaft,,36,automatisch
00086,Am Hang,Burgaltendorf,Gemeindestraße,Lagebezeichnung,,36,automatisch
00087,Am Hauptbahnhof,Stadtkern,Hauptstraße,Essener Geschichte und Ortlichkeit,,36,automatisch
00088,Am Haus Stein,Haarzopf,Gemeindestraße,Flurname,,36,automatisch
03604,Am Hausberg,Kettwig,Gemeindestraße,Flurname,,36,automatisch
00089,Am Heimbusch,Kray,Gemeindestraße,Flurname,,36,automatisch
00090,Am Heissiwald,Bredeney; Werden,Gemeindestraße,"Botanik, Wald",,36,automatisch
00091,Am Herrenbusch,Heisingen,Gemeindestraße,Flurname,,37,unsicher
00092,Am Hinsberg,Bredeney,Gemeindestraße,Flurname,,37,automatisch
03605,Am Hofacker,Kettwig,Gemeindestraße,Flurname,,37,automatisch
00093,Am Hohen Kreuz,Fischlaken,Gemeindestraße,Flurname,,37,automatisch
00699,Am Isinger Bach,Leithe,Gemeindestraße,Gewässer,,37,automatisch
00095,Am Jungborn,Bochold,Gemeindestraße,Lagebezeichnung,,37,automatisch
00096,Am Kalverkämpchen,Kray,Gemeindestraße,Flurname,,37,automatisch
00097,Am Kampenbusch,Kray,Gemeindestraße,Flurname,,37,automatisch
03606,Am Kattenturm,Kettwig,Gemeindestraße,Sage,,37,automatisch
01885,Am Kettwiger Ruhrbogen,Kettwig,Gemeindestraße,Lage- bezeichnung,,37,automatisch
00262,Am Kieskamp,Burgaltendorf,Gemeindestraße,Flurname,,38,automatisch
00263,Am Kirchhof,Burgaltendorf,Gemeindestraße,Nummerierungsbezirk,,38,automatisch
01619,Am Knottenberg,Steele,Gemeindestraße,Flurname,,38,automatisch
00098,Am Kohlenkämpchen,Bredeney,Gemeindestraße,Flurname,,38,automatisch
00099,Am Korintenberg,Bredeney; Werden,Gemeindestraße,Flurname,,38,automatisch
00100,Am Kornkamp,Bochold,Gemeindestraße,Lagebezeichnung,,38,automatisch
